id,farm,hub,web,image,logo,category
11,Bison and Bee Honey,WMGC,http://www.bisonandbee.com/,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1495051200408-IN1RKL3UW494T2Z16GJJ/ke17ZwdGBToddI8pDm48kGlbuFf65q0r1KjtXmkgZ8RZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVHQr4qVp_kNJG2u_5cTbyEwq9MzN1827TBJDT2qDOzC9jZ6KHwYYUbGpCpPtmpQqmg/wb.jpg,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1495555892098-0LQLFB7FCANKZVEITW07/ke17ZwdGBToddI8pDm48kA0IjZD1g38gULWkMPvrnLZZw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7Umpxc4wiY59jJM_L58ANN65SeI8p-Xw72uLhRjnLpFSgrT8wUkb2S8RkKZUrn50zg/Bison-Bee.png,Farm
12,Blanchard Mountain Farm,PSFH,http://www.blanchardmountainfarm.com/,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/d79592c9-c42b-495a-8ad6-81144aae7758/producerImg1.jpeg,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/BlanchardLogo.jpg,Farm
13,Boldly Grown Farm,PSFH,http://www.boldlygrownfarm.com/,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/BoldlyGrown1.jpg,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/BoldlyGrownFarmLogoedit.jpg,Farm
14,Bow Hill Blueberries,PSFH,http://www.bowhillblueberries.com/,https://lfmimages.blob.core.windows.net/400952-puget/meet-the-producers/74a6c34d-6ae8-41f3-877f-691806b1191d/producerImg2.jpeg,https://lfmimages.blob.core.windows.net/400952-puget/meet-the-producers/74a6c34d-6ae8-41f3-877f-691806b1191d/pThumbnail.jpeg,Farm
15,Boxx Berry Farm,PSFH,https://www.boxxberryfarm.com/,https://www.boxxberryfarm.com/wp-content/uploads/2020/06/2615950E-13B3-4536-91B0-E85C1CCCB5CE-300x200.jpeg,https://www.boxxberryfarm.com/wp-content/uploads/2020/06/image0.png,Farm
16,Brush Creek Creamery,LINC,http://www.brushcreekcreamery.com/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1575566874583-O9BYWN4GB2IKGBX1PXL4/ke17ZwdGBToddI8pDm48kANU1I5Olj2hr4y6T3WT91x7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1Ub11NSTVI8Axip6F8tVBP5tI5ImsOVnuAD7UkQAEcubSkxn0g6lR5Nhs_Kjrj6WtEA/IMG_8854.jpg,,Producer
17,Cabrera Farms,PSFH,https://store.pugetsoundfoodhub.com/Producer/ca4c857a-3d4d-48f6-afcf-1f6fa134e9d1,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/ca4c857a-3d4d-48f6-afcf-1f6fa134e9d1/producerImg1.jpeg,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/ca4c857a-3d4d-48f6-afcf-1f6fa134e9d1/pThumbnail.jpeg,Farm
18,Cairnspring Mills,PSFH,http://www.cairnspring.com/,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/f13345ef-6766-4ee7-846e-35e375c780da/producerImg1.png,https://lfmimages.blob.core.windows.net/400952-puget/products/producers/f13345ef-6766-4ee7-846e-35e375c780da/pThumbnail.jpeg,Producer
19,Caruso Farm,PSFH,http://carusofarm.com/,https://images.squarespace-cdn.com/content/v1/517e994de4b0d5eb59e2491a/1614115829648-AV7UA4M1RGVMAFJHXHKS/ke17ZwdGBToddI8pDm48kK60W-ob1oA2Fm-j4E_9NQB7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0kD6Ec8Uq9YczfrzwR7e2Mh5VMMOxnTbph8FXiclivDQnof69TlCeE0rAhj6HUpXkw/market+spread.JPG,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/Caruso.jpg,Farm
20,Cascadia Mushrooms,PSFH,http://www.cascadiamushrooms.com/,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/Cascadia_Mushroom_Rev.jpg,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/CascadiaMushroomsLogo.jpg,Farm
21,Cedarville Farm,PSFH,http://www.cedarvillefarm.com/,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/CedarvilleFarm.jpg,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/CedarvilleLogo.jpg,Farm
22,Channing Farm,LINC,https://lincfoods.localfoodmarketplace.com/Producer/2e821948-880f-43d6-bd16-62029f49d0a8,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1611793742980-FTTVY2OIGCHRPHCVRCU0/ke17ZwdGBToddI8pDm48kK60W-ob1oA2Fm-j4E_9NQB7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0kD6Ec8Uq9YczfrzwR7e2Mh5VMMOxnTbph8FXiclivDQnof69TlCeE0rAhj6HUpXkw/onions+yellow+channing.jpg,,Farm
23,Cherry Valley Dairy,PSFH,http://cherryvalleydairy.com/,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/Cherry_Valley.jpg,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/CherryValleysmLOGO.jpg,Farm
24,Chimacum Valley Dairy,PSFH,http://www.chimacumvalleydairy.com/,http://www.chimacumvalleydairy.com/images/BigCheeseM.jpg,https://lfmimages.blob.core.windows.net/400952-puget/meet-the-producers/dd516f2e-0a44-4315-a4a3-ff244828fd46/pThumbnail.jpeg,Farm
25,Clark Fork Organics,WMGC,https://www.wmgcoop.com/clark-fork-organics,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1491418444863-TPYLWZF37O3BYFTR7JGF/ke17ZwdGBToddI8pDm48kPZjswWEEM1xUlE2nw_1gDZZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVFEypcWtVdAnmHnO4a1hPNGKftICS8WvBaaDvL8dARr2lYCOBSuh7_iz0ZUXSA5sds/Clarkfork+Image.jpg,,Farm
26,Cloud Mountain Farm Center,PSFH,http://www.cloudmountainfarmcenter.org/,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/CMFCPhoto.jpg,https://lfmimages.blob.core.windows.net/400952-puget/Producer_Profile_Photos/CMFCLogo.jpg,Farm
27,County Rail Farm,WMGC,https://www.wmgcoop.com/county-rail-farm,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1555608329467-8L6Z46FDQ6N6OA9MSMSP/ke17ZwdGBToddI8pDm48kBZw6jF4_OvU-ddo_vwqGhp7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1Ub61YCrK70I7JIpWiI8ho4Yi1WvVNQtDE81xuRbL1MFKm0sD-Bab7E9MY8W31A7zMQ/image1.jpeg,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1491419092140-0KKIZX7XNL0C91PBEQ8Q/ke17ZwdGBToddI8pDm48kMHqp69ZSAEKOCbGUu4-1PJ7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UV2asf3poEtzG10qwH0wRHNtsW-BZwGOx8vqqV0PQm1YWba5L34rbLYwbmLnwJFOnw/County+Rail+Logo.jpg,Farm
28,Courage To Grow Farms,LINC,https://www.couragetogrowfarms.com/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1574454864187-IYRLIRCPNEBSOBRUIQNO/ke17ZwdGBToddI8pDm48kDHPSfPanjkWqhH6pl6g5ph7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0mwONMR1ELp49Lyc52iWr5dNb1QJw9casjKdtTg1_-y4jz4ptJBmI9gQmbjSQnNGng/IMG_20190730_134501.jpg,,Farm
29,Day Creek Organic Farms,PSFH,https://store.pugetsoundfoodhub.com/Producer/b842a02d-69a6-42a0-9981-3486de480526,https://lfmimages.blob.core.windows.net/400952-puget/meet-the-producers/b842a02d-69a6-42a0-9981-3486de480526/producerImg1.jpeg,,Farm
30,Deluge Farms,WMGC,http://delugefarm.com/,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1491422378001-KX2YCTFGRG0Y32CSP9WY/ke17ZwdGBToddI8pDm48kDEDYh4Y0JGhR6hzuwcJ44gUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcz6bs2FkMoqlrQIzq4g5ogDqXr_T7rMikH_TfPkEE4wwzGwe9KEhUq6A0DxOZf-75/Deluge+Farm.jpg,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1491421747315-PH66E7KALXL4ZPHPJJHB/ke17ZwdGBToddI8pDm48kGdAA-pubVbkDIw2FrQivF9Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpyqi3Oens3zsKpeFzLFj-btB4DY_wGuUKhzuW_DyuxwrTY8ehbWY2FGs7Ju1oD8_2c/Deluge+Logo.png,Farm
31,Dixon Melons,WMGC,http://dixonmelons.com/,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1491423044303-W45JVW1IY3VWYQN5FGEM/ke17ZwdGBToddI8pDm48kPZjswWEEM1xUlE2nw_1gDZZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVFEypcWtVdAnmHnO4a1hPNGKftICS8WvBaaDvL8dARr2lYCOBSuh7_iz0ZUXSA5sds/Dixon+Melon+1.jpg,,Farm
32,Dude's Organic Farm,WMGC,http://www.dudesorganicfarm.com/,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1495035216834-3AUXK65H031ZDEC6PAU3/ke17ZwdGBToddI8pDm48kAHWeGNrnTNuaaRsQC5iQLWLPZHY9930KFuik00L7GzBKdq8kyNB6kzmmlKIayPDyP2t63aHWkMIQdtLKKvU3kzXpPDBXeB2C1aoJXa6Jv2bCjLISwBs8eEdxAxTptZAUg/IMG_0039.JPG,,Farm
33,E.G.A. Farms,LINC,https://www.localharvest.org/e-g-a-farms-M65684,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1574454873860-49ZGIV9L29JJU0GRGB3Z/ke17ZwdGBToddI8pDm48kF86JGEj8i24gNbObl3pjhB7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UcH4S-byvuv6egzKS6PCNRhxO0X6vmkYNlOXAxa6ZN8RoRwB-dUGsSquCnVTFQcaRg/Screenshot_20190808-135403.png,,Farm
34,Elithorp Farm,LINC,http://www.elithorpfarm.com/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1575999565469-8HSZ1ZV7CKNFFAQ4D0X5/ke17ZwdGBToddI8pDm48kHFnmntegnVXpN4y4ldn3ixZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpxco7Gi2cI2YfBk8ZWdc_m6Xcr86dXh8TsiE3NyioNRZj9sD37Ved1vsRvl2h0UxBw/-5169403097674643774.jpg,,Farm
35,Elk Creek Colony,WMGC,https://www.wmgcoop.com/elk-creek-colony,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1552927521302-7VRACZ6J2LEQVP18YSO9/ke17ZwdGBToddI8pDm48kPmLlvCIXgndBxNq9fzeZb1Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIFMLRh9LbupWL4Bv1SDYZc4lRApws2Snwk0j_RSxbNHMKMshLAGzx4R3EDFOm1kBS/Elk-Creek-Colony.jpg,,Farm
36,Fairhaven Organic Mill,PSFH,http://fairhavenflour.com/,https://cdn.shopify.com/s/files/1/0293/8073/9116/collections/dried-grass-under-dusk-wallpaper-preview_300x.jpg,https://lfmimages.blob.core.windows.net/400952-puget/meet-the-producers/9f9d70eb-b07e-41a1-bf88-70d1be245ebb/pThumbnail.jpeg,Producer
37,Fertile Valley Farm & Gardens,LINC,https://www.facebook.com/FertileValleyFarmandGardens/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1575309710171-D9Z9KOWWJFONID2417SR/ke17ZwdGBToddI8pDm48kDHPSfPanjkWqhH6pl6g5ph7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0mwONMR1ELp49Lyc52iWr5dNb1QJw9casjKdtTg1_-y4jz4ptJBmI9gQmbjSQnNGng/IMG_20191122_085848.jpg,,Farm
38,Filaree Garlic Farm,LINC,https://www.filareefarm.com/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1574454966522-1LO1TUY4JP9LNGUGY7E9/ke17ZwdGBToddI8pDm48kPmLlvCIXgndBxNq9fzeZb1Zw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIFMLRh9LbupWL4Bv1SDYZc4lRApws2Snwk0j_RSxbNHMKMshLAGzx4R3EDFOm1kBS/sweet+potatoes+in+ground.jpg,,Farm
39,First Cut Farm,PSFH,https://store.pugetsoundfoodhub.com/Producer/3e4dfa37-3f64-4fa5-8176-d09ad4e6c5ad,,,Farm
40,Five Fox Farm,WMGC,https://www.wmgcoop.com/five-fox-farms,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1491423664156-BORZ8KSG0C4DWDGOT1LA/ke17ZwdGBToddI8pDm48kL3VKmwKI3leYB51VJjLFB8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcgK5SGg9Ovb1yloBBOHcruw_mYLfAhRzzgArFCB07Dw0L8n4JypuoE5Tg6Wg5Oyvs/image-asset.jpeg,,Farm
41,Flathead Lake Cheese,WMGC,http://www.flatheadlakecheese.com/,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1495037057999-K98OXEJAN8J2ZG06BCI0/ke17ZwdGBToddI8pDm48kL3VKmwKI3leYB51VJjLFB8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcgK5SGg9Ovb1yloBBOHcruw_mYLfAhRzzgArFCB07Dw0L8n4JypuoE5Tg6Wg5Oyvs/Wendi+and+Joe.JPG,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1491424529190-4Z65IZZGVTTG767GSG79/ke17ZwdGBToddI8pDm48kHqYAt3UgyjNg-0dlUc4K5hZw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7Xj1nVWs2aaTtWBneO2WM-usDBND3CLj2EJ5friVaES_YnxFv1gFf0Nb6hpwGkIZgQ/FLC+logo.jpg,Producer
42,Fleming Family Farm,LINC,https://flemingfamily.farm/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1575322652311-5X2BB6T39X9D34F8S7BL/ke17ZwdGBToddI8pDm48kFTEgwhRQcX9r3XtU0e50sUUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcW7uEhC96WQdj-SwE5EpM0lAopPba9ZX3O0oeNTVSRxdHAmtcci_6bmVLoSDQq_pb/-2861587534017244405.jpg,,Farm
43,Footehills Farm,LINC,https://www.footehillsfarm.net/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1574462818978-V2NDCPVD39FV3Z1S0HEL/ke17ZwdGBToddI8pDm48kK60W-ob1oA2Fm-j4E_9NQB7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0kD6Ec8Uq9YczfrzwR7e2Mh5VMMOxnTbph8FXiclivDQnof69TlCeE0rAhj6HUpXkw/0617191051a.jpg,,Farm
44,Foothill Farm,WMGC,https://www.wmgcoop.com/foothill-farm,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1588016240351-RS7WPJDMJJ6KBVRS0TGH/ke17ZwdGBToddI8pDm48kDy_MNA6ibH11I468aiVR9R7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UfYCWMw0fqBZMxr4hi3TpblJt1DIW5hRfVS5mO3ve_HqiNuCulDNLYPXCy8JiF59IQ/pavlock.jpg,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1499454077774-KKKHD2QA4STMNLOL5CPD/ke17ZwdGBToddI8pDm48kDG5JqBeZfxnlalfIioMD8xZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVFVpHqOWqWeoVaBPZfBqLhbZ8LIcKlQqNIjM42nRmIwc5xHP--Ezx4AqAHs_4tx7C0/toms.jpg,Farm
45,Forbidden Fruit Orchard,WMGC,https://www.wmgcoop.com/forbidden-fruit,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1491426350456-EV0VNBWU6TV2U0H4Y2ZM/ke17ZwdGBToddI8pDm48kEbepzduzyzM6z1uYMsX9pQUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKc0VjHTqBcw-CWTv3N3d4e3IxtspB3YuP_8TdCx6D7KzEv9JD7Xyrrv41zX1aU0nw2/paradise.jpg,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1491425992622-MH4TT41WF73LUZ69JQ10/ke17ZwdGBToddI8pDm48kHfu26C3UNX0ni59RXgj6-9Zw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7XaGPskfQtVutuSA2B-JW6xcd3914cvaBYLrX3XvnAMctNzyt16p09NDJ7x9rEcqYA/Forbidden-Fruit-Orchard-logo-web-site.png,Farm
46,Fourth Wave Farm,WMGC,https://www.wmgcoop.com/fourth-wave-farm,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1495062471725-HFE23Q74KT44EWN0GYKU/ke17ZwdGBToddI8pDm48kOTMlWjtzGLFGIEgNvPbx_EUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcPaJ58MkSAasMqx2VtCuuHd2JqTheiAyS-MamgQrTO_cvkZgue9BtWba1jl-YltaT/Basil-Featured.jpg,,Farm
47,Fresh Roots Farm,WMGC,https://www.wmgcoop.com/fresh-roots-farm,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1495038520022-E9D340ICNOIUSXCX8RZF/ke17ZwdGBToddI8pDm48kGh_-VQgorphTEz_ApDRXVJZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVFlGn6lN-g1jqW_Fyv-iOPK5BCSoSP2mee2SOL2rwIFVUWOW8hgl4jPfejttcjVcig/fresh+roots.jpg,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1495554157582-A0KKF1GN5842TE5NRDTR/ke17ZwdGBToddI8pDm48kPitFZfqOOToAmiAf6CvVZpZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpwBmXldqKahQLAnLxDoeJJUDO8yNV6BWNY_LMfPzSBDIHEPFHg_-PzWGzqQebczFf8/Fresh+Roots.png,Farm
48,Front Street Fungi,WMGC,http://www.frontstreetfungi.com/,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1552924772990-4SAVMV67XZ5QWQ5VX3C2/ke17ZwdGBToddI8pDm48kFHK5F05TKII8wHIBW7w8gAUqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKcYN7DiKlGiPrn1MBagPgNAHfNXTR2q5LNhvBH2scApRCsl3Ws76a38LgXDiGxz0di/Fungi.jpg,https://images.squarespace-cdn.com/content/v1/58ab5c7617bffc6029e04e46/1552926511590-7S3SJPFQSZZPOMONEYOE/ke17ZwdGBToddI8pDm48kFUzSOcxg9jBSKBymeooojtZw-zPPgdn4jUwVcJE1ZvWEtT5uBSRWt4vQZAgTJucoTqqXjS3CfNDSuuf31e0tVGzOgWvVYuc2RyhWoypYzIOWuotVNRDX9RbWBUyvs2Ed_tMC5tpHWocEsGy_O4gyl0/FS%2BFUNGI%2BLOGO%2BV%2B%2528COLOR%2529.jpg,Farm
49,Full Bushel Farm,LINC,https://www.facebook.com/FullBushelFarmWA/,https://images.squarespace-cdn.com/content/v1/52f151aee4b0cbd3eeceb3c9/1575395920354-033N06NH5HS5D2JRYI1A/ke17ZwdGBToddI8pDm48kPaJNXjYPWg97kyA1YKquHJ7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UUcjGgekb2Cl721ud2fFYkN3J9u7kogfdh3YOKkjACd97zs2yPjc1ECvpa5Zm_kMqw/Screenshot_20191203-095706.png,,Farm
